SeqId,SeqIdVersion,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Z Scores
20964-13,3,SL022213,40S ribosomal protein S14,RS14,P62263,6208,RPS14,5.248526645
16617-14,3,SL003718,Caspase-14,Caspase-14,P31944,23581,CASP14,5.19015335
18257-64,3,SL013012,Signal recognition particle 19 kDa protein,SRP19,P09132,6728,SRP19,5.106180013
3187-52,2,SL007284,Cysteine-rich secretory protein 3,CRIS3,P54108,10321,CRISP3,4.985952108
11155-16,3,SL019315,Collagen alpha-5(VI) chain,CO6A5,A8TX70,256076,COL6A5,4.96197055
13988-67,3,SL020265,NmrA-like family domain-containing protein 1,NMRL1,Q9HBL8,57407,NMRAL1,4.919023156
14063-17,3,SL000530,Oncostatin-M,OSM,P13725,5008,OSM,4.899165451
9190-7,3,SL008837,CD63 antigen,CD63,P08962,967,CD63,4.882265864
9884-8,3,SL019142,Peptidyl-prolyl cis-trans isomerase-like 1,PPIL1,Q9Y3C6,51645,PPIL1,4.85557043
21319-196,3,SL022116,"rRNA methyltransferase 1, mitochondrial",MRM1,Q6IN84,79922,MRM1,4.849120956
23210-4,3,SL022857,ETS translocation variant 2,ETV2,O00321,2116,ETV2,4.845444222
11565-58,3,SL019525,Zinc finger protein 23,ZNF23,P17027,7571,ZNF23,4.8081262
23202-78,3,SL012779,Ecto-ADP-ribosyltransferase 5,NAR5,Q96L15,116969,ART5,4.656705184
21704-8,3,SL017512,Protocadherin-12,PCD12,Q9NPG4,51294,PCDH12,4.656211115
7265-32,3,SL008892,Osteocrin,OSTN,P61366,344901,OSTN,4.534787884
14120-2,3,SL018629,E3 ubiquitin-protein ligase RNF43,RNF43,Q68DV7,54894,RNF43,4.487461282
13436-54,3,SL020077,Myc-associated zinc finger protein,MAZ,P56270,4150,MAZ,4.475159435
5460-60,3,SL004750,ATP-dependent RNA helicase DDX19B,DEAD-box protein 19B,Q9UMR2,11269,DDX19B,4.31945869
5653-23,3,SL017074,Probable inactive serine protease 37,PRS37,A4D1T9,136242,PRSS37,4.291358145
5033-27,1,SL004737,Tropomyosin alpha-1 chain,Tropomyosin 1 alpha chain,P09493,7168,TPM1,4.242559491
10054-3,3,SL019232,Gigaxonin,GAN,Q9H2C0,8139,GAN,4.195238315
23017-17,3,SL017265,Reticulocalbin-3,RCN3,Q96D15,57333,RCN3,4.15938858
23286-2,3,SL023319,RING finger protein 141,RN141,Q8WVD5,50862,RNF141,4.144050349
3315-15,1,SL010463,Glypican-2,GPC2,Q8N158,221914,GPC2,4.059142486
11661-11,3,SL019570,"NACHT, LRR and PYD domains-containing protein 1",NALP1,Q9C000,22861,NLRP1,4.042359642
23401-3,3,SL013237,DAZ-associated protein 1,DAZP1,Q96EP5,26528,DAZAP1,4.021945379
21330-13,3,SL013448,"Tyrosyl-tRNA synthetase, mitochondrial",SYYM,Q9Y2Z4,51067,YARS2,3.973663031
5440-26,3,SL004594,"Troponin I, fast skeletal muscle","Troponin I, skeletal, fast twitch",P48788,7136,TNNI2,3.68915402
25473-62,3,SL023532,Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha,FNTA,P49354,2339,FNTA,3.675598002
5755-29,3,SL011908,Gastric inhibitory polypeptide,GIP,P09681,2695,GIP,3.61996923
7106-37,3,SL012654,Oocyte-secreted protein 2,PLACL,Q86WS3,219990,OOSP2,3.617364543
7951-146,3,SL018362,Fc receptor-like protein 2,FCRL2,Q96LA5,79368,FCRL2,3.614679227
13498-1,3,SL020130,Inositol oxygenase,MIOX,Q9UGB7,55586,MIOX,3.606690218
5335-73,3,SL003647,Annexin A6,annexin VI,P08133,309,ANXA6,3.598053852
20390-4,3,SL021912,High mobility group nucleosome-binding domain-containing protein 3,HMGN3,Q15651,9324,HMGN3,3.583445927
24902-84,3,SL023226,Gephyrin,GEPH,Q9NQX3,10243,GPHN,3.577907445
20449-72,3,SL022080,Josephin-1,JOS1,Q15040,9929,JOSD1,3.577633852
3499-77,2,SL004350,Interleukin-17B,IL-17B,Q9UHF5,27190,IL17B,3.532191504
18934-50,3,SL004717,Protein-glutamine gamma-glutamyltransferase 2,Tissue transglutaminase,P21980,7052,TGM2,3.529648764
8253-2,3,SL018441,"Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1",PMGT1,Q8WZA1,55624,POMGNT1,3.478536441
24320-3,3,SL019135,Tripartite motif-containing protein 72,TRI72,Q6ZMU5,493829,TRIM72,3.462309111
15427-35,3,SL012455,Lysyl oxidase homolog 3,LOXL3,P58215,84695,LOXL3,3.45661181
4708-3,2,SL004253,Estradiol 17-beta-dehydrogenase 1,17-beta-HSD 1,P14061,3292,HSD17B1,3.409049803
11192-168,3,SL008302,Tubulointerstitial nephritis antigen-like,TINAL,Q9GZM7,64129,TINAGL1,3.39215431
4886-3,1,SL000516,C-C motif chemokine 7,MCP-3,P80098,6354,CCL7,3.385458948
13499-30,3,SL000359,Coagulation Factor VIII,Coagulation Factor VIII,P00451,2157,F8,3.378002001
19159-9,3,SL005738,DNA polymerase delta subunit 4,DNA polymerase subunit delta 4,Q9HCU8,57804,POLD4,3.366843338
12014-19,3,SL019226,6-pyruvoyl tetrahydrobiopterin synthase,PTPS,Q03393,5805,PTS,3.35733807
7154-92,3,SL018080,Protein LEG1 homolog,CF058,Q6P5S2,352999,LEG1,3.344365142
5663-18,3,SL007105,Platelet factor 4 variant,PF4V,P10720,5197,PF4V1,3.328966411
7066-199,4,SL018032,Protein FAM209B,F209B,Q5JX69,388799,FAM209B,3.298371528
13384-110,3,SL008015,"Fumarate hydratase, mitochondrial",FUMH,P07954,2271,FH,3.284227868
3360-50,4,SL003726,Serine/threonine-protein kinase Chk2,Chk2,O96017,11200,CHEK2,3.28166541
7163-26,3,SL006208,Extracellular glycoprotein lacritin,lacritin,Q9GZZ8,90070,LACRT,3.262636645
13726-4,3,SL003738,T-lymphocyte activation antigen CD80,B7,P33681,941,CD80,3.261934066
3366-51,2,SL006550,Extracellular matrix protein 1,ECM1,Q16610,1893,ECM1,3.250270672
9513-9,3,SL007681,Fibroblast growth factor 22,FGF22,Q9HCT0,27006,FGF22,3.239874079
16616-137,3,SL007119,Beta-enolase,ENOB,P13929,2027,ENO3,3.218681244
6060-2,3,SL000060,Prolactin-inducible protein,PIP,P12273,5304,PIP,3.175614959
21706-29,3,SL012376,Leukocyte immunoglobulin-like receptor subfamily A member 1,LIRA1,O75019,11024,LILRA1,3.165637123
9116-28,3,SL025879,"HEPACAM family member 2:Isoform 1, Cytoplasmic domain",HECA2:CD,A8MVW5,253012,HEPACAM2,3.140180389
21117-18,3,SL022295,Zinc finger C4H2 domain-containing protein,ZC4H2,Q9NQZ6,55906,ZC4H2,3.135515644
7118-24,3,SL025880,Immunoglobulin superfamily DCC subclass member 3:Extracellular domain,IGDC3:ECD,Q8IVU1,9543,IGDCC3,3.124435545
14329-4,3,SL011624,Death-inducer obliterator 1,DIDO1,Q9BTC0,11083,DIDO1,3.107756771
2942-50,2,SL000396,Cytochrome c,Cytochrome c,P99999,54205,CYCS,3.102474569
2670-67,4,SL000383,Creatine kinase M-type,CK-MM,P06732,1158,CKM,3.066606983
2421-7,3,SL003951,Brain-derived neurotrophic factor,BDNF,P23560,627,BDNF,3.051971998
14122-132,3,SL018971,E3 ubiquitin-protein ligase ZNRF3,ZNRF3,Q9ULT6,84133,ZNRF3,3.048164155
9899-28,3,SL019162,Kinesin-like protein KIF1C,KIF1C,O43896,10749,KIF1C,3.020147921
23265-15,3,SL007964,Tumor protein D54,TPD54,O43399,7165,TPD52L2,2.998047163
21190-4,3,SL022282,Ubiquitin-conjugating enzyme E2 W,UBE2W,Q96B02,55284,UBE2W,2.976746798
2744-57,2,SL000467,Immunoglobulin G,IgG,P01857,3500 3501  3502 3503  50802 3535,IGHG1,2.956242067
18170-46,3,SL014772,"Pyrroline-5-carboxylate reductase 1, mitochondrial",P5CR1,P32322,5831,PYCR1,2.955246085
15325-14,3,SL007137,Neuromodulin,NEUM,P17677,2596,GAP43,2.940379768
16768-3,3,SL006467,Junction plakoglobin,PLAK,P14923,3728,JUP,2.937202811
3171-57,2,SL004469,Amyloid beta A4 protein,amyloid precursor protein,P05067,351,APP,2.932729532
7854-38,3,SL018292,Natural cytotoxicity triggering receptor 3 ligand 1,NR3L1,Q68D85,374383,NCR3LG1,2.930543581
12406-119,3,SL000635,GTP-binding protein Di-Ras3,ARHI,O95661,9077,DIRAS3,2.929293869
16607-78,3,SL005572,Gelsolin,Gelsolin,P06396,2934,GSN,2.921881252
11817-1,3,SL018792,Ribosomal protein S6 kinase beta-1,KS6B1,P23443,6198,RPS6KB1,2.90463443
10606-34,3,SL026012,Torsin-1A-interacting protein 1:Perinuclear domain,TOIP1:Perinuclear,Q5JTV8,26092,TOR1AIP1,2.902009029
6342-10,3,SL006194,Nephronectin,Nephronectin,Q6UXI9,255743,NPNT,2.899764051
3714-49,2,SL000382,Creatine kinase M-type:Creatine kinase B-type heterodimer,CK-MB,P12277|P06732,1152|1158,CKB|CKM,2.894749089
18241-18,3,SL020919,"Oxygen-dependent coproporphyrinogen-III oxidase, mitochondrial",HEM6,P36551,1371,CPOX,2.893384372
10738-11,3,SL004460,Fibulin-5,fibulin 5,Q9UBX5,10516,FBLN5,2.880949767
8079-39,3,SL018383,EP300-interacting inhibitor of differentiation 3,EID3,Q8N140,493861,EID3,2.874576535
25096-58,3,SL021470,"Myosin-binding protein C, fast-type",MYPC2,Q14324,4606,MYBPC2,2.865099077
21389-32,3,SL007396,Serine/threonine-protein kinase 3,STK3,Q13188,6788,STK3,2.864746098
3827-22,1,SL010509,Serine/threonine-protein kinase PAK 6,PAK6,Q9NQU5,106821730,PAK6,2.847861132
23371-5,3,SL023283,NIF3-like protein 1,NIF3L,Q9GZT8,60491,NIF3L1,2.829299034
2796-62,2,SL000424,Fibrinogen,Fibrinogen,P02671|P02675|P02679,2243|2244|2266,FGA|FGB|FGG,2.820779821
4131-72,2,SL000426,Fibronectin,Fibronectin,P02751,2335,FN1,2.797574491
8016-19,3,SL025838,DnaJ homolog subfamily C member 4:N-term,DNJC4:N-term,Q9NNZ3,3338,DNAJC4,2.768844437
12957-62,3,SL008041,Cytochrome b-c1 complex subunit 7,UCR6,P14927,7381,UQCRB,2.764337735
15444-45,3,SL001959,Serpin B4,SCCA2,P48594,6318,SERPINB4,2.761436099
12551-3,3,SL007599,E3 ubiquitin-protein ligase Itchy homolog,ITCH,Q96J02,83737,ITCH,2.7597127
21112-6,3,SL022125,"Myosin regulatory light chain 2, skeletal muscle isoform",MLRS,Q96A32,29895,MYLPF,2.759211109
12595-11,3,SL010848,Tropomodulin-1,TMOD1,P28289,7111,TMOD1,2.729171517
13534-20,3,SL008132,Myomesin-2,MYOM2,P54296,9172,MYOM2,2.724115122
24314-9,3,SL023637,Trafficking protein particle complex subunit 13,TPC13,A5PLN9,80006,TRAPPC13,2.708054596
21862-145,3,SL004612,LIM and SH3 domain protein 1,LASP-1,Q14847,3927,LASP1,2.689451952
20071-53,3,SL004546,I-kappa-B-epsilon,IKB-epsilon,O00221,4794,NFKBIE,2.680382747
13524-25,3,SL020161,Heparan-sulfate 6-O-sulfotransferase 2,H6ST2,Q96MM7,90161,HS6ST2,2.669503815
3435-53,2,SL010348,Fibronectin Fragment 4,FN1.4,P02751,2335,FN1,2.665116495
9757-29,3,SL019147,Protein enabled homolog,ENAH,Q8N8S7,55740,ENAH,2.646190083
21314-11,3,SL022280,Ubiquitin-like modifier-activating enzyme 5,UBA5,Q9GZZ9,79876,UBA5,2.625369429
20453-9,3,SL022146,Non-structural maintenance of chromosomes element 1 homolog,NSE1,Q8WV22,197370,NSMCE1,2.621379669
22545-20,3,SL022901,RNA-binding Raly-like protein,RALYL,Q86SE5,138046,RALYL,2.61233239
22078-4,3,SL022902,Tyrosine aminotransferase,ATTY,P17735,6898,TAT,2.612329524
15440-57,3,SL012421,Neuroendocrine convertase 2,NEC2,P16519,5126,PCSK2,2.607157372
15542-19,3,SL013015,"Creatine kinase U-type, mitochondrial",KCRU,P12532,1159,CKMT1A,2.590523926
23322-2,3,SL023527,Musculin,MUSC,O60682,9242,MSC,2.590513531
21247-16,3,SL022101,S-adenosylmethionine synthase isoform type-1,METK1,Q00266,4143,MAT1A,2.585819259
4420-7,2,SL009988,Disintegrin and metalloproteinase domain-containing protein 12,ADAM12,O43184,8038,ADAM12,2.56859198
20517-1,3,SL004857,Desmoglein-2,Desmoglein-2,Q14126,1829,DSG2,2.568021013
25258-41,3,SL023556,Spermatogenesis-associated protein 5,SPAT5,Q8NB90,166378,SPATA5,2.56025096
15347-12,3,SL000440,Hemopexin,Hemopexin,P02790,3263,HPX,2.549390681
9590-10,3,SL019040,"Cytochrome c oxidase subunit 7A-related protein, mitochondrial",COX7R,O14548,9167,COX7A2L,2.549024551
7648-9,3,SL017328,"Myosin-binding protein C, slow-type",MYPC1,Q00872,4604,MYBPC1,2.535306983
20408-11,3,SL022263,Mitochondrial import receptor subunit TOM20 homolog,TOM20,Q15388,9804,TOMM20,2.529721392
21875-31,3,SL022297,AN1-type zinc finger protein 3,ZFAN3,Q9H8U3,60685,ZFAND3,2.515902659
22527-4,3,SL008220,PDZ and LIM domain protein 3,PDLI3,Q53GG5,27295,PDLIM3,2.51168682
4332-6,2,SL013488,C-type lectin domain family 1 member B,CLC1B,Q9P126,51266,CLEC1B,2.511522343
12385-4,3,SL006471,Calpain-3,CAN3,P20807,825,CAPN3,2.510767906
11421-10,3,SL008304,EH domain-containing protein 4,EHD4,Q9H223,30844,EHD4,2.510680883
7132-55,3,SL012659,Complement C1q-like protein 4,C1QL4,Q86Z23,338761,C1QL4,2.50845061
11582-63,3,SL007975,DnaJ homolog subfamily A member 2,DNJA2,O60884,10294,DNAJA2,2.507305318
3344-60,4,SL000272,Antithrombin-III,Antithrombin III,P01008,462,SERPINC1,2.503203345
6900-30,3,SL016535,Ubiquitin-conjugating enzyme E2 J1,UB2J1,Q9Y385,51465,UBE2J1,2.482820221
2879-9,2,SL000248,Alpha-1-antichymotrypsin,a1-Antichymotrypsin,P01011,12,SERPINA3,2.476183318
24694-158,3,SL008393,Ezrin-radixin-moesin-binding phosphoprotein 50,NHERF,O14745,9368,SLC9A3R1,2.474634849
3434-34,1,SL010349,Fibronectin Fragment 3,FN1.3,P02751,2335,FN1,2.473020148
18411-83,3,SL021354,ADP-ribosylation factor-like protein 15,ARL15,Q9NXU5,54622,ARL15,2.463987797
8288-27,3,SL000282,Beta-2-glycoprotein 1,b2-Glycoprotein I,P02749,350,APOH,2.463717611
4162-54,2,SL000601,Serotransferrin,Transferrin,P02787,7018,TF,2.450613126
19154-41,3,SL004457,Glia-derived nexin,Protease nexin I,P07093,5270,SERPINE2,2.429021161
24655-23,3,SL023307,RILP-like protein 2,RIPL2,Q969X0,196383,RILPL2,2.428503032
18242-8,3,SL004276,Sperm surface protein Sp17,Sperm protein 17,Q15506,53340,SPA17,2.420119862
8264-43,3,SL006970,Delta-like protein 1,DLL1,O00548,28514,DLL1,2.413187522
14047-78,3,SL003951,Brain-derived neurotrophic factor,BDNF,P23560,627,BDNF,2.393746668
13747-9,3,SL010288,Carbonic anhydrase 6,Carbonic anhydrase 6,P23280,765,CA6,2.377942835
15364-101,3,SL000275,Apolipoprotein C-I,Apo C-I,P02654,341,APOC1,2.351413067
3535-84,1,SL004367,Dickkopf-related protein 1,DKK1,O94907,22943,DKK1,2.349200172
16060-99,3,SL008193,Nidogen-2,NID2,Q14112,22795,NID2,2.345163819
9844-138,3,SL008091,Alpha-actinin-2,ACTN2,P35609,88,ACTN2,2.338819342
23687-27,3,SL023386,TBC1 domain family member 20,TBC20,Q96BZ9,128637,TBC1D20,2.334665891
24235-2,3,SL008306,EH domain-containing protein 1,EHD1,Q9H4M9,10938,EHD1,2.318685592
20064-24,3,SL010350,Fibronectin-1 Fragment 2,FN1.2,P02751,2335,FN1,2.313454246
21509-29,3,SL022507,Glycosyltransferase 8 domain-containing protein 2,GL8D2,Q9H1C3,83468,GLT8D2,2.304780826
5316-54,3,SL000558,Prothrombin,Prothrombin,P00734,2147,F2,2.300517652
9457-3,3,SL014826,Caveolin-2,CAV2,P51636,858,CAV2,2.294876292
11677-17,3,SL019579,Probable palmitoyltransferase ZDHHC14,ZDH14,Q8IZN3,79683,ZDHHC14,2.292888822
22787-39,3,SL022927,Sperm protein associated with the nucleus on the X chromosome N3,SPXN3,Q5MJ09,139067,SPANXN3,2.289919535
17391-10,3,SL015530,Splicing factor 45,SPF45,Q96I25,84991,RBM17,2.288276836
17699-43,3,SL015589,Protein timeless homolog,TIMELESS,Q9UNS1,8914,TIMELESS,2.285725481
16856-79,3,SL007443,Microtubule-associated protein RP/EB family member 2,MARE2,Q15555,10982,MAPRE2,2.281912282
22569-55,3,SL005928,TGF-beta receptor type-1,TGFR-1,P36897,7046,TGFBR1,2.277255703
19240-265,3,SL010229,28 kDa heat- and acid-stable phosphoprotein,HAP28,Q13442,11333,PDAP1,2.276396674
17140-57,3,SL014328,Platelet-derived growth factor D,PDGFD,Q9GZP0,80310,PDGFD,2.275283506
23526-25,3,SL023397,Protein KTI12 homolog,KTI12,Q96EK9,112970,KTI12,2.272081176
23361-20,3,SL019463,RNA-binding protein 4,RBM4,Q9BWF3,5936,RBM4,2.271527884
7810-20,3,SL005573,Complement C1q tumor necrosis factor-related protein 5,C1QTNF5,Q9BXJ0,114902,C1QTNF5,2.270025237
13231-90,3,SL020001,"Ig gamma-4, Kappa","IgG4, Kappa",P01861,3503,IGHG4,2.268489971
19206-20,3,SL007213,"7,8-dihydro-8-oxoguanine triphosphatase",8ODP,P36639,4521,NUDT1,2.267097666
19371-18,3,SL011230,Microtubule-associated protein RP/EB family member 1,MARE1,Q15691,22919,MAPRE1,2.261481675
2480-58,3,SL003043,Metalloproteinase inhibitor 3,TIMP-3,P35625,7078,TIMP3,2.26083649
19638-9,3,SL021368,Dynorphin A (1-17),Dynorphin A (1-17),P01213,5173,PDYN,2.258139436
7903-18,3,SL007454,Vesicle-associated membrane protein 3,VAMP3,Q15836,9341,VAMP3,2.254492527
17734-13,3,SL010230,Alpha-endosulfine,a-endosulfine,O43768,2029,ENSA,2.253246269
21130-82,3,SL022077,Inositol-tetrakisphosphate 1-kinase,ITPK1,Q13572,3705,ITPK1,2.246203215
23327-1,3,SL023415,BLOC-1-related complex subunit 5,BORC5,Q969J3,118426,BORCS5,2.245238714
5023-23,1,SL009792,Adenylosuccinate lyase,PUR8,P30566,158,ADSL,2.239054713
4394-71,2,SL014308,Fibroblast growth factor 8 isoform A,FGF-8A,P55075,2253,FGF8,2.23901587
18376-19,3,SL004734,Myosin light chain 3,Myosin light chain 1,P08590,4634,MYL3,2.230471308
9574-11,3,SL019026,Myc box-dependent-interacting protein 1,BIN1,O00499,274,BIN1,2.213534247
18191-23,3,SL013039,Ran-specific GTPase-activating protein,RANG,P43487,5902,RANBP1,2.196895992
24211-25,3,SL016420,"Hydroxymethylglutaryl-CoA lyase, mitochondrial",HMGCL,P35914,3155,HMGCL,2.187118542
12764-3,3,SL019856,Engulfment and cell motility protein 1,ELMO1,Q92556,9844,ELMO1,2.185727932
25282-6,3,SL014591,Antizyme inhibitor 1,AZIN1,O14977,51582,AZIN1,2.183505241
4499-21,1,SL000535,Platelet-derived growth factor subunit A,PDGF-AA,P04085,5154,PDGFA,2.183458034
8357-43,3,SL018475,Sulfotransferase 4A1,ST4A1,Q9BR01,25830,SULT4A1,2.180541723
7100-31,3,SL004124,T-cell surface antigen CD2,CD2,P06729,914,CD2,2.176063688
9357-4,3,SL008587,Protein CREG1,CREG1,O75629,8804,CREG1,2.172166845
6374-7,3,SL012374,Matrix metalloproteinase-20,MMP20,O60882,9313,MMP20,2.171139221
4149-8,2,SL000537,Platelet-derived growth factor subunit B,PDGF-BB,P01127,5155,PDGFB,2.14208303
4918-21,1,SL017189,Kininogen-1,"Kininogen, HMW",P01042,3827,KNG1,2.139619787
2668-70,2,SL000337,Calpain I,Calpain I,P07384|P04632,823|826,CAPN1|CAPNS1,2.135640144
8221-19,3,SL003080,Macrophage migration inhibitory factor,MIF,P14174,4282,MIF,2.109599734
6392-7,3,SL004674,WNT1-inducible-signaling pathway protein 2,WISP-2,O76076,8839,CCN5,2.109373441
15516-12,3,SL005700,Serum amyloid A-4 protein,SAA-4,P35542,6291,SAA4,2.105649061
9107-59,3,SL018807,Armadillo repeat-containing protein 10,ARM10,Q8N2F6,83787,ARMC10,2.098434422
15585-304,3,SL004460,Fibulin-5,fibulin 5,Q9UBX5,10516,FBLN5,2.097386652
18868-7,3,SL004001,Chromobox protein homolog 3,CBX3,Q13185,11335,CBX3,2.087690499
19117-3,3,SL015127,Protein phosphatase 1 regulatory subunit 14A,PP14A,Q96A00,94274,PPP1R14A,2.079940968
5256-86,3,SL011405,"cGMP-specific 3',5'-cyclic phosphodiesterase",PDE5A,O76074,8654,PDE5A,2.077551167
13487-24,3,SL020148,Protein unc-93 homolog B1,UN93B,Q9H1C4,81622,UNC93B1,2.073585088
18158-45,3,SL003715,Caspase-8,Caspase-8,Q14790,841,CASP8,2.072195629
25232-4,3,SL011303,EH domain-containing protein 3,EHD3,Q9NZN3,30845,EHD3,2.070311839
8748-45,3,SL007076,HLA class II histocompatibility antigen gamma chain,HG2A,P04233,972,CD74,2.067985216
5689-1,3,SL012531,Beta-defensin 112,DB112,Q30KQ8,245915,DEFB112,2.067835749
23176-17,3,SL004979,Beta-dystroglycan,Beta-dystroglycan,Q14118,1605,DAG1,2.063657443
8565-160,3,SL006716,Plasmalemma vesicle-associated protein,PLVAP,Q9BX97,83483,PLVAP,2.058555106
18408-26,3,SL008052,ADP-ribosylation factor 4,ARF4,P18085,378,ARF4,2.055641601
4989-7,1,SL003341,Fibrinogen gamma chain,Fibrinogen g-chain dimer,P02679,2266,FGG,2.05270033
24979-17,3,SL013051,Eukaryotic translation initiation factor 3 subunit B,EIF3B,P55884,8662,EIF3B,2.034582575
17819-30,3,SL020941,"Acylpyruvase FAHD1, mitochondrial",FAHD1,Q6P587,81889,FAHD1,2.034544064
4807-13,3,SL008072,Collagen alpha-1(VIII) chain,CO8A1,P27658,1295,COL8A1,2.026761972
3480-7,1,SL008122,Dual specificity protein phosphatase 3,DUS3,P51452,1845,DUSP3,2.024948561
2778-10,2,SL004347,Interleukin-22,IL-22,Q9GZX6,50616,IL22,2.023377818
4230-1,2,SL011211,Eukaryotic translation initiation factor 4 gamma 2,IF4G2,P78344,1982,EIF4G2,2.020888652
22033-32,3,SL022551,Wiskott-Aldrich syndrome protein,WASP,P42768,7454,WAS,2.004999721
14073-31,3,SL000440,Hemopexin,Hemopexin,P02790,3263,HPX,1.993365191
3010-53,2,SL004687,Thymic stromal lymphopoietin,TSLP,Q969D9,85480,TSLP,1.98642659
8468-19,3,SL000062,Prostate-specific antigen,PSA,P07288,354,KLK3,1.96640043
15433-4,3,SL005268,Proto-oncogene tyrosine-protein kinase Src,p60-Src,P12931,6714,SRC,1.957687686
22783-40,3,SL020891,Transcription factor PU.1,SPI1,P17947,6688,SPI1,1.948602545
8098-37,3,SL011184,Thromboxane-A synthase,THAS,P24557,6916,TBXAS1,1.946074448
2697-7,2,SL003041,Platelet factor 4,PF-4,P02776,5196,PF4,1.941415038
16318-12,3,SL004851,Serine/threonine-protein kinase receptor R3,ALK-1,P37023,94,ACVRL1,1.939504421
6213-10,3,SL017263,Choriogonadotropin subunit beta variant 2,CGB2,Q6NT52,114336,CGB2,1.935450508
5011-11,1,SL003685,Nicotinamide phosphoribosyltransferase,PBEF,P43490,10135,NAMPT,1.93097292
17513-11,3,SL008121,Annexin A11,ANX11,P50995,311,ANXA11,1.929968166
23597-11,3,SL023429,Arf-GAP domain and FG repeat-containing protein 2,AGFG2,O95081,3268,AGFG2,1.929798541
3365-7,2,SL010612,Dickkopf-related protein 4,Dkk-4,Q9UBT3,27121,DKK4,1.926781584
13615-60,3,SL007010,Cytoplasmic protein NCK2,NCK2,O43639,8440,NCK2,1.910533532
4249-64,2,SL004921,Nucleoside diphosphate kinase B,NDP kinase B,P22392,4831,NME2,1.908285359
4914-10,1,SL001766,Human Chorionic Gonadotropin,HCG,P01215|P0DN86|P0DN87,1081|1082|94027,CGA|CGB3|CGB7,1.903384257
24710-1,3,SL023653,Microtubule-associated tumor suppressor candidate 2,MTUS2,Q5JR59,23281,MTUS2,1.901430741
